,book_name,author_name,book_genre,year_published,edition_language,avg_rating,no_of_raters,score,no_of_ppl_voted,book_url
789,Prey,Michael Crichton,Fiction,2006,English,3.75,"153,999",595,8,https://www.goodreads.com/book/show/83763.Prey
790,"Love, Lex (The Undergrad Years, #1)",Avery Aster,New Adult,2014,English,3.15,"1,568",595,6,https://www.goodreads.com/book/show/20567976-love-lex
791,Rules,Cynthia Lord,Realistic Fiction,2006,English,3.97,"51,323",594,7,https://www.goodreads.com/book/show/222458.Rules
792,"Carnelian (Chalcedony Chronicles, #1)",B. Kristin McMichael,Fantasy,2014,English,3.86,897,594,6,https://www.goodreads.com/book/show/20512062-carnelian
793,The IX  (The IX #1),Andrew P. Weston,Science Fiction,2015,unknown,3.42,430,594,6,https://www.goodreads.com/book/show/24689551-the-ix
794,Angelica And Francesca,Kenneth Jarrett Singleton,Fiction,2005,English,4.57,339,594,6,https://www.goodreads.com/book/show/4303567-angelica-and-francesca
795,The Undomestic Goddess,Sophie Kinsella,Womens Fiction,2006,English,3.83,"242,745",592,8,https://www.goodreads.com/book/show/33722.The_Undomestic_Goddess
796,The City of Ember,Jeanne DuPrau,Young Adult,2003,English,3.86,"227,975",592,9,https://www.goodreads.com/book/show/307791.The_City_of_Ember
797,Any Human Heart,William  Boyd,Fiction,2004,English,4.27,"13,903",592,7,https://www.goodreads.com/book/show/77866.Any_Human_Heart
798,"Empire of Storms (Throne of Glass, #5)",Sarah J. Maas,Fantasy,2016,English,4.56,"150,480",592,8,https://www.goodreads.com/book/show/28260587-empire-of-storms
799,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,Nonfiction,2017,English,4.09,"95,053",592,8,https://www.goodreads.com/book/show/29496076-killers-of-the-flower-moon
800,Seeing,José Saramago,Fiction,2007,English,3.80,"16,329",591,7,https://www.goodreads.com/book/show/47667.Seeing
801,The Language of Flowers,Vanessa Diffenbaugh,Fiction,2011,English,4.08,"185,638",591,8,https://www.goodreads.com/book/show/10032672-the-language-of-flowers
802,"The Mysterious Benedict Society (The Mysterious Benedict Society, #1)",Trenton Lee Stewart,Mystery,2007,English,4.16,"112,731",591,7,https://www.goodreads.com/book/show/83369.The_Mysterious_Benedict_Society
803,"The Assassin's Blade (Throne of Glass, #0.1-0.5)",Sarah J. Maas,Fantasy,2014,English,4.43,"107,323",591,8,https://www.goodreads.com/book/show/18243700-the-assassin-s-blade
804,The Algebraist,Iain M. Banks,Science Fiction,2006,English,4.01,"17,142",590,7,https://www.goodreads.com/book/show/12009.The_Algebraist
805,NW,Zadie Smith,Fiction,2012,English,3.44,"30,495",589,7,https://www.goodreads.com/book/show/13537891-nw
806,Engleby,Sebastian Faulks,Fiction,2007,English,3.73,"7,577",588,7,https://www.goodreads.com/book/show/956719.Engleby
807,La carte et le territoire,Michel Houellebecq,Fiction,2010,French,3.94,"13,761",588,7,https://www.goodreads.com/book/show/8710484-la-carte-et-le-territoire
808,Billy Lynn's Long Halftime Walk,Ben Fountain,Fiction,2012,English,3.80,"27,523",585,8,https://www.goodreads.com/book/show/13325079-billy-lynn-s-long-halftime-walk
809,God Is Dead,Ron Currie Jr.,Fiction,2007,English,3.75,"2,893",582,6,https://www.goodreads.com/book/show/1155314.God_Is_Dead
810,The Tenth Circle,Jodi Picoult,Fiction,2006,English,3.50,"112,283",582,8,https://www.goodreads.com/book/show/10909.The_Tenth_Circle
811,This Changes Everything: Capitalism vs. The Climate,Naomi Klein,Nonfiction,2014,English,4.18,"15,061",582,6,https://www.goodreads.com/book/show/21913812-this-changes-everything
812,Skinhead... The Life I Chose: Memoirs of a Real Skin,Spike Pitt,Nonfiction,2014,English,4.01,70,579,6,https://www.goodreads.com/book/show/23955580-skinhead-the-life-i-chose
813,The Storyteller,Jodi Picoult,Fiction,2013,English,4.28,"155,486",577,8,https://www.goodreads.com/book/show/15753740-the-storyteller
814,My Dream of You,Nuala O'Faolain,Fiction,2002,English,3.55,"2,235",575,7,https://www.goodreads.com/book/show/245579.My_Dream_of_You
815,A Bend in the Road,Nicholas Sparks,Romance,2005,English,4.03,"133,194",574,8,https://www.goodreads.com/book/show/3463.A_Bend_in_the_Road
816,The Fall of Berlin 1945,Antony Beevor,History,2003,English,4.29,"11,696",574,6,https://www.goodreads.com/book/show/42661.The_Fall_of_Berlin_1945
817,Benjamin Franklin: An American Life,Walter Isaacson,Biography,2004,English,3.99,"101,693",573,9,https://www.goodreads.com/book/show/10883.Benjamin_Franklin
818,"Free Four: Tobias Tells the Divergent Knife-Throwing Scene (Divergent, #1.5)",Veronica Roth,Young Adult,2012,English,4.16,"90,902",573,8,https://www.goodreads.com/book/show/13615258-free-four
819,"River Marked (Mercy Thompson, #6)",Patricia Briggs,Fantasy,2011,English,4.28,"72,140",572,8,https://www.goodreads.com/book/show/8087906-river-marked
820,Colombiano,Rusty Young,Fiction,2017,English,4.38,916,569,6,https://www.goodreads.com/book/show/35847912-colombiano
821,The Circle,Dave Eggers,Fiction,2013,English,3.43,"171,041",565,7,https://www.goodreads.com/book/show/18302455-the-circle
822,"Fool's Fate (Tawny Man, #3)",Robin Hobb,Fantasy,2004,unknown,4.41,"59,328",565,6,https://www.goodreads.com/book/show/45108.Fool_s_Fate
823,GraceLand,Chris Abani,Fiction,2005,English,3.78,"2,198",563,6,https://www.goodreads.com/book/show/41250.GraceLand
824,Next,Michael Crichton,Fiction,2006,English,3.50,"62,569",562,8,https://www.goodreads.com/book/show/7661.Next
825,Dark Matter,Blake Crouch,Science Fiction,2016,English,4.10,"197,276",561,8,https://www.goodreads.com/book/show/27833670-dark-matter
826,A Fraction of the Whole,Steve Toltz,Fiction,2008,English,4.13,"14,607",559,7,https://www.goodreads.com/book/show/1833852.A_Fraction_of_the_Whole
827,"The Sweetness at the Bottom of the Pie (Flavia de Luce, #1)",Alan Bradley,Mystery,2009,English,3.81,"131,096",559,10,https://www.goodreads.com/book/show/6218281-the-sweetness-at-the-bottom-of-the-pie
828,"Wool (Wool, #1)",Hugh Howey,Science Fiction,2011,English,4.12,"71,922",559,6,https://www.goodreads.com/book/show/12287209-wool
829,Zeitoun,Dave Eggers,Nonfiction,2009,English,4.07,"67,381",558,8,https://www.goodreads.com/book/show/6512154-zeitoun
830,Secret Daughter,Shilpi Somaya Gowda,Fiction,2010,English,3.98,"66,511",557,9,https://www.goodreads.com/book/show/6905012-secret-daughter
831,"Monsters of Men (Chaos Walking, #3)",Patrick Ness,Young Adult,2010,English,4.25,"60,935",557,6,https://www.goodreads.com/book/show/7540092-monsters-of-men
832,Just One Look,Harlan Coben,Mystery,2005,English,4.01,"30,709",554,7,https://www.goodreads.com/book/show/85418.Just_One_Look
833,"The Tin Roof Blowdown (Dave Robicheaux, #16)",James Lee Burke,Mystery,2007,English,4.17,"12,990",554,7,https://www.goodreads.com/book/show/55018.The_Tin_Roof_Blowdown
834,"Something Blue (Darcy & Rachel, #2)",Emily Giffin,Womens Fiction,2006,English,3.93,"197,034",551,7,https://www.goodreads.com/book/show/42155.Something_Blue
835,Hegemony or Survival: America's Quest for Global Dominance,Noam Chomsky,Politics,2004,English,3.96,"11,622",551,6,https://www.goodreads.com/book/show/12612.Hegemony_or_Survival
836,Along for the Ride,Sarah Dessen,Young Adult,2009,English,4.06,"180,095",551,10,https://www.goodreads.com/book/show/5664985-along-for-the-ride
837,Nation,Terry Pratchett,Fantasy,2008,English,4.07,"30,228",550,8,https://www.goodreads.com/book/show/2855034-nation
838,The Stolen Child,Keith Donohue,Fantasy,2006,English,3.71,"10,649",548,6,https://www.goodreads.com/book/show/38657.The_Stolen_Child
839,"Only Time Will Tell (The Clifton Chronicles, #1)",Jeffrey Archer,Fiction,2011,English,4.07,"68,550",548,8,https://www.goodreads.com/book/show/10872085-only-time-will-tell
840,"Blood Song (Raven's Shadow, #1)",Anthony Ryan,Fantasy,2012,English,4.44,"65,363",548,6,https://www.goodreads.com/book/show/13569581-blood-song
841,American Rust,Philipp Meyer,Fiction,2009,English,3.70,"8,576",548,6,https://www.goodreads.com/book/show/4251902-american-rust
842,The Imperfectionists,Tom Rachman,Fiction,2010,English,3.54,"44,699",545,7,https://www.goodreads.com/book/show/6834410-the-imperfectionists
843,Longbourn,Jo Baker,Historical,2013,English,3.63,"45,702",545,7,https://www.goodreads.com/book/show/17380041-longbourn
844,The Autograph Man,Zadie Smith,Fiction,2003,English,3.16,"10,809",543,8,https://www.goodreads.com/book/show/3710.The_Autograph_Man
845,Don't Let's Go to the Dogs Tonight: An African Childhood,Alexandra Fuller,Autobiography,2003,English,3.97,"46,703",543,7,https://www.goodreads.com/book/show/24687.Don_t_Let_s_Go_to_the_Dogs_Tonight
846,"The Outlaw Demon Wails (The Hollows, #6)",Kim Harrison,Fantasy,2008,English,4.38,"51,442",541,8,https://www.goodreads.com/book/show/1225621.The_Outlaw_Demon_Wails
847,"Hunting Ground (Alpha & Omega, #2)",Patricia Briggs,Fantasy,2009,English,4.27,"55,772",541,8,https://www.goodreads.com/book/show/5292853-hunting-ground
848,"Olympos (Ilium, #2)",Dan Simmons,Science Fiction,2006,English,3.94,"14,818",539,6,https://www.goodreads.com/book/show/3972.Olympos
849,"Dreamfever (Fever, #4)",Karen Marie Moning,Fantasy,2009,English,4.42,"85,865",538,7,https://www.goodreads.com/book/show/6050298-dreamfever
850,Forbidden,Tabitha Suzuma,Young Adult,2010,English,4.04,"50,028",538,7,https://www.goodreads.com/book/show/7600924-forbidden
851,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,Fantasy,2015,English,4.25,"356,013",538,8,https://www.goodreads.com/book/show/16096824-a-court-of-thorns-and-roses
852,"The Story of a New Name (The Neapolitan Novels, #2)",Elena Ferrante,Fiction,2013,English,4.37,"87,332",538,6,https://www.goodreads.com/book/show/17465515-the-story-of-a-new-name
853,"The Iron Daughter (The Iron Fey, #2)",Julie Kagawa,Fantasy,2010,English,4.11,"109,202",535,7,https://www.goodreads.com/book/show/7747064-the-iron-daughter
854,"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,Fantasy,2014,English,4.76,"171,883",532,7,https://www.goodreads.com/book/show/17332218-words-of-radiance
855,Amazonia,James Rollins,Thriller,2002,English,4.12,"26,830",531,6,https://www.goodreads.com/book/show/294047.Amazonia
856,Alice's Tulips,Sandra Dallas,Historical,2001,English,3.81,"3,558",529,6,https://www.goodreads.com/book/show/240404.Alice_s_Tulips
857,"Twelve Sharp (Stephanie Plum, #12)",Janet Evanovich,Mystery,2006,English,4.15,"86,677",529,7,https://www.goodreads.com/book/show/3507.Twelve_Sharp
858,Ain't No Grave: The Life and Legacy of Brother Claude Ely,Macel Ely II,Music,2011,English,4.11,27,529,6,https://www.goodreads.com/book/show/10757346-ain-t-no-grave
859,"The Surgeon (Rizzoli & Isles, #1)",Tess Gerritsen,Mystery,2005,English,4.10,"120,274",528,7,https://www.goodreads.com/book/show/32263.The_Surgeon
860,The Sugar Queen,Sarah Addison Allen,Fiction,2008,English,3.98,"47,660",528,6,https://www.goodreads.com/book/show/2200877.The_Sugar_Queen
861,"Chosen (House of Night, #3)",P.C. Cast,Young Adult,2008,English,3.92,"214,915",528,10,https://www.goodreads.com/book/show/1326258.Chosen
862,"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe, #1)",Benjamin Alire Sáenz,Young Adult,2012,English,4.34,"205,132",527,7,https://www.goodreads.com/book/show/12000020-aristotle-and-dante-discover-the-secrets-of-the-universe
863,"Trickster's Choice (Daughter of the Lioness, #1)",Tamora Pierce,Fantasy,2004,English,4.27,"55,753",525,9,https://www.goodreads.com/book/show/24431.Trickster_s_Choice
864,"Snuff (Discworld, #39; City Watch #8)",Terry Pratchett,Fantasy,2011,English,4.16,"44,411",525,6,https://www.goodreads.com/book/show/8785374-snuff
865,Sold,Patricia McCormick,Young Adult,2006,English,4.21,"47,963",525,7,https://www.goodreads.com/book/show/201114.Sold
866,"Warm Bodies (Warm Bodies, #1)",Isaac Marion,Romance,2010,English,3.92,"97,252",525,7,https://www.goodreads.com/book/show/7619057-warm-bodies
867,"The Hard Way (Jack Reacher, #10)",Lee Child,Thriller,2006,English,4.16,"57,801",519,7,https://www.goodreads.com/book/show/383028.The_Hard_Way
868,A Prisoner of Birth,Jeffrey Archer,Fiction,2008,English,4.13,"30,570",518,6,https://www.goodreads.com/book/show/1611988.A_Prisoner_of_Birth
869,"Maisie Dobbs (Maisie Dobbs, #1)",Jacqueline Winspear,Mystery,2004,English,3.92,"72,801",517,7,https://www.goodreads.com/book/show/462033.Maisie_Dobbs
870,Runaway,Alice Munro,Short Stories,2005,English,3.98,"19,100",513,6,https://www.goodreads.com/book/show/14280.Runaway
871,The Blue Nowhere,Jeffery Deaver,Thriller,2001,English,3.97,"9,012",512,6,https://www.goodreads.com/book/show/343995.The_Blue_Nowhere
872,North of Beautiful,Justina Chen,Young Adult,2009,English,3.92,"34,840",512,7,https://www.goodreads.com/book/show/3238153-north-of-beautiful
873,"MaddAddam (MaddAddam, #3)",Margaret Atwood,Fiction,2013,English,really,avg,512,6,https://www.goodreads.com/book/show/17262203-maddaddam
874,Mudbound,Hillary Jordan,Historical,2008,English,4.03,"59,813",511,8,https://www.goodreads.com/book/show/2138727.Mudbound
875,History of Beauty,Umberto Eco,Art,2004,English,3.77,"47,176",510,7,https://www.goodreads.com/book/show/10505.History_of_Beauty
876,The Distant Hours,Kate Morton,Historical,2010,English,3.88,"62,177",510,6,https://www.goodreads.com/book/show/6746018-the-distant-hours
877,The Choice,Nicholas Sparks,Romance,2007,English,3.99,"145,458",509,7,https://www.goodreads.com/book/show/531350.The_Choice
878,The Wordy Shipmates,Sarah Vowell,Nonfiction,2008,English,3.67,"19,973",508,6,https://www.goodreads.com/book/show/2845287-the-wordy-shipmates
879,Twenties Girl,Sophie Kinsella,Womens Fiction,2009,English,3.82,"143,873",508,7,https://www.goodreads.com/book/show/6063187-twenties-girl
880,Before You Know Kindness,Chris Bohjalian,Fiction,2005,English,3.47,"10,385",506,6,https://www.goodreads.com/book/show/16046.Before_You_Know_Kindness
881,"The Power of Six (Lorien Legacies, #2)",Pittacus Lore,Young Adult,2011,English,4.17,"117,149",506,7,https://www.goodreads.com/book/show/8659601-the-power-of-six
882,"One Shot (Jack Reacher, #9)",Lee Child,Thriller,2006,English,4.20,"86,515",505,7,https://www.goodreads.com/book/show/220968.One_Shot
883,"The Serpent's Tale (Mistress of the Art of Death, #2)",Ariana Franklin,Historical,2008,English,3.94,"11,300",504,8,https://www.goodreads.com/book/show/1232140.The_Serpent_s_Tale
884,Forever,Pete Hamill,Fiction,2003,English,3.94,"10,653",503,6,https://www.goodreads.com/book/show/148465.Forever
885,"Witch Song (Witch Song, #1)",Amber Argyle,Fantasy,2011,English,3.68,"5,153",500,5,https://www.goodreads.com/book/show/10400575-witch-song
886,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,Humor,2013,English,4.18,"156,817",500,7,https://www.goodreads.com/book/show/17571564-hyperbole-and-a-half
887,The Summer that Melted Everything,Tiffany McDaniel,Fiction,2016,English,3.93,"5,331",500,5,https://www.goodreads.com/book/show/26114523-the-summer-that-melted-everything
888,Freaks I've Met,Donald Jans,Humor,2015,English,4.36,"1,657",500,5,https://www.goodreads.com/book/show/26059449-freaks-i-ve-met
889,First Light (Globiuz #1),R.L.  Douglas,unknown,2018,English,4.50,2,500,5,https://www.goodreads.com/book/show/44421341-first-light
890,A Spy at Home,Joseph Rinaldo,Fiction,2010,English,3.70,37,499,5,https://www.goodreads.com/book/show/8928799-a-spy-at-home
891,"Twisted (Twisted, #1)",Lola Smirnova,Dark,2014,English,3.85,181,499,5,https://www.goodreads.com/book/show/21446984-twisted
892,I am an Island,Jonathan Culver,Fiction,2011,unknown,3.89,19,498,5,https://www.goodreads.com/book/show/12260642-i-am-an-island
893,"Clearly's Corruption (Witch In The Woods, #2)",Taylor Ann Bunker,Young Adult,2014,English,4.42,38,498,5,https://www.goodreads.com/book/show/22404111-clearly-s-corruption
894,The Gates to Love and War,Janie Pendleton,Classics,2008,English,4.59,27,497,5,https://www.goodreads.com/book/show/3314550-the-gates-to-love-and-war
895,Palette of Love,Ashok  Kallarakkal,Short Stories,2013,English,really,avg,497,5,https://www.goodreads.com/book/show/18715583-palette-of-love
896,Regular People of The Weak: A Rebel's Experience With The Spiritual Chief of Poets,Shareef Mabrouk,unknown,2014,unknown,4.78,9,497,5,https://www.goodreads.com/book/show/21865943-regular-people-of-the-weak
897,Pregnancy and Men,Pratik Patil,Parenting,2015,English,3.81,47,497,5,https://www.goodreads.com/book/show/25278965-pregnancy-and-men
898,"The Evolution of Mara Dyer (Mara Dyer, #2)",Michelle Hodkin,Young Adult,2012,English,4.31,"79,130",497,7,https://www.goodreads.com/book/show/13643567-the-evolution-of-mara-dyer
899,"Firefly Lane (Firefly Lane, #1)",Kristin Hannah,Fiction,2008,English,4.07,"171,254",496,6,https://www.goodreads.com/book/show/1472878.Firefly_Lane
900,The Tainted Trust (The King Trilogy #2),Stephen Douglass,Thriller,2014,English,4.65,184,494,5,https://www.goodreads.com/book/show/22882294-the-tainted-trust
901,Trust: Pandora's Box (TRUST Trilogy #3; TRUST Universe #6-8),Cristiane Serruya,Romance,2014,English,3.92,180,490,5,https://www.goodreads.com/book/show/17801272-trust
902,The Master,Colm Tóibín,Fiction,2005,English,3.83,"8,436",489,6,https://www.goodreads.com/book/show/43691.The_Master
903,Madame de Stäel,Maria Fairweather,Biography,2006,English,4.17,108,488,5,https://www.goodreads.com/book/show/599146.Madame_de_St_el
904,At Home: A Short History of Private Life,Bill Bryson,Nonfiction,2010,English,3.97,"73,018",488,7,https://www.goodreads.com/book/show/7507825-at-home
905,Love Walked In (Love Walked In #1),Marisa de los Santos,Fiction,2006,English,3.71,"33,824",487,6,https://www.goodreads.com/book/show/115076.Love_Walked_In
906,Gone for Good,Harlan Coben,Mystery,2003,English,4.10,"41,178",486,6,https://www.goodreads.com/book/show/43930.Gone_for_Good
907,Secret Deceptions (Amatore's Restaurant #1),James Sillwood,Romance,2014,English,4.45,44,486,5,https://www.goodreads.com/book/show/25001951-secret-deceptions
908,Accelerando,Charles Stross,Science Fiction,2006,English,3.88,"17,768",484,6,https://www.goodreads.com/book/show/17863.Accelerando
909,Arthur & George,Julian Barnes,Fiction,2007,English,3.70,"14,076",484,7,https://www.goodreads.com/book/show/45369.Arthur_George
910,Remainder,Tom McCarthy,Fiction,2007,English,3.65,"6,070",483,5,https://www.goodreads.com/book/show/101334.Remainder
911,Joyland,Stephen King,Mystery,2013,English,3.91,"102,241",482,6,https://www.goodreads.com/book/show/13596166-joyland
912,Shit my History Teacher DID NOT tell me!,Karl Wiggins,History,2014,English,4.09,228,482,5,https://www.goodreads.com/book/show/21015194-shit-my-history-teacher-did-not-tell-me
913,Pompeii,Robert   Harris,Historical,2005,English,3.82,"32,578",482,6,https://www.goodreads.com/book/show/880.Pompeii
914,"The Blade Itself (The First Law, #1)",Joe Abercrombie,Fantasy,2007,English,4.16,"142,701",481,6,https://www.goodreads.com/book/show/944073.The_Blade_Itself
915,"Saga, Vol. 1",Brian K. Vaughan,Sequential Art,2012,English,4.20,"215,769",480,6,https://www.goodreads.com/book/show/15704307-saga-vol-1
916,Train Dreams,Denis Johnson,Fiction,2011,English,3.83,"15,759",479,5,https://www.goodreads.com/book/show/11073085-train-dreams
917,The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,A.J. Jacobs,Nonfiction,2007,English,3.76,"58,984",478,6,https://www.goodreads.com/book/show/495395.The_Year_of_Living_Biblically
918,"The Fire Within (The Last Dragon Chronicles, #1)",Chris d'Lacey,Fantasy,2007,English,3.78,"26,740",476,6,https://www.goodreads.com/book/show/312043.The_Fire_Within
919,"Paranormalcy (Paranormalcy, #1)",Kiersten White,Young Adult,2010,English,3.90,"88,393",475,6,https://www.goodreads.com/book/show/7719245-paranormalcy
920,"Faefever (Fever, #3)",Karen Marie Moning,Fantasy,2008,English,4.32,"86,665",474,7,https://www.goodreads.com/book/show/2702704-faefever
921,The Time of Our Singing,Richard Powers,Fiction,2004,English,4.25,"2,484",474,5,https://www.goodreads.com/book/show/23007.The_Time_of_Our_Singing
922,The Witch's Trinity,Erika Mailman,Historical,2008,English,3.56,"1,646",473,5,https://www.goodreads.com/book/show/2922755-the-witch-s-trinity
923,A Free Life,Ha Jin,Fiction,2007,English,3.69,"2,670",473,6,https://www.goodreads.com/book/show/199215.A_Free_Life
924,"Undead and Unreturnable (Undead, #4)",MaryJanice Davidson,Paranormal,2006,English,3.88,"21,098",472,6,https://www.goodreads.com/book/show/478657.Undead_and_Unreturnable
925,"The Sword of Summer (Magnus Chase and the Gods of Asgard, #1)",Rick Riordan,Fantasy,2015,English,4.25,"130,525",472,7,https://www.goodreads.com/book/show/15724396-the-sword-of-summer
926,"Pushing the Limits (Pushing the Limits, #1)",Katie McGarry,Young Adult,2012,English,4.07,"109,670",471,6,https://www.goodreads.com/book/show/10194514-pushing-the-limits
927,The Fish the Fighters and the Song-Girl,Janet E. Morris,Fantasy,2012,English,4.68,140,470,5,https://www.goodreads.com/book/show/14744360-the-fish-the-fighters-and-the-song-girl
928,The Lost Books of the Odyssey,Zachary Mason,Fiction,2008,English,3.93,"2,726",469,5,https://www.goodreads.com/book/show/2199365.The_Lost_Books_of_the_Odyssey
929,The Emperor of All Maladies: A Biography of Cancer,Siddhartha Mukherjee,Nonfiction,2010,English,4.31,"69,911",469,5,https://www.goodreads.com/book/show/7170627-the-emperor-of-all-maladies
930,The Signature of All Things,Elizabeth Gilbert,Fiction,2013,English,3.84,"84,636",469,5,https://www.goodreads.com/book/show/17465453-the-signature-of-all-things
931,The Bone Clocks,David Mitchell,Fiction,2014,English,3.83,"78,285",468,6,https://www.goodreads.com/book/show/20819685-the-bone-clocks
932,"Revelation (Matthew Shardlake, #4)",C.J. Sansom,Historical,2008,English,4.34,"17,750",466,6,https://www.goodreads.com/book/show/820480.Revelation
933,Confessions of a Contractor,Richard  Murphy,Fiction,2008,English,3.04,257,466,5,https://www.goodreads.com/book/show/3325259-confessions-of-a-contractor
934,"The Darkest Minds (The Darkest Minds, #1)",Alexandra Bracken,Young Adult,2012,English,4.20,"132,087",466,6,https://www.goodreads.com/book/show/10576365-the-darkest-minds
935,"Labyrinth (Languedoc, #1)",Kate Mosse,Historical,2007,English,3.57,"45,032",465,6,https://www.goodreads.com/book/show/14975.Labyrinth
936,"Demonglass (Hex Hall, #2)",Rachel Hawkins,Young Adult,2011,English,4.11,"84,805",463,9,https://www.goodreads.com/book/show/8428064-demonglass
937,The Lonely Polygamist,Brady Udall,Fiction,2011,English,3.51,"14,528",461,7,https://www.goodreads.com/book/show/9498875-the-lonely-polygamist
938,Salem Falls,Jodi Picoult,Fiction,2002,English,3.82,"69,911",460,8,https://www.goodreads.com/book/show/10915.Salem_Falls
939,"Shadow of Night (All Souls Trilogy, #2)",Deborah Harkness,Fantasy,2012,English,4.07,"152,160",460,7,https://www.goodreads.com/book/show/11559200-shadow-of-night
940,"Everlasting (The Immortals, #6)",Alyson Noel,Young Adult,2011,English,3.92,"43,297",459,6,https://www.goodreads.com/book/show/9395215-everlasting
941,Puhdistus,Sofi Oksanen,Fiction,2008,Finnish,3.87,"12,216",459,6,https://www.goodreads.com/book/show/6050822-puhdistus
942,Mornings in Jenin,Susan Abulhawa,Historical,2010,English,4.37,"18,071",459,6,https://www.goodreads.com/book/show/6692041-mornings-in-jenin
943,America America,Ethan Canin,Fiction,2008,English,3.66,"3,320",458,5,https://www.goodreads.com/book/show/2217682.America_America
944,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,Nonfiction,2013,English,3.94,"130,996",458,6,https://www.goodreads.com/book/show/15751404-david-and-goliath
945,"Empress Orchid (Empress Orchid, #1)",Anchee Min,Historical,2005,English,3.88,"21,143",456,6,https://www.goodreads.com/book/show/139254.Empress_Orchid
946,"Warbreaker (Warbreaker, #1)",Brandon Sanderson,Fantasy,2009,English,4.26,"96,010",456,6,https://www.goodreads.com/book/show/1268479.Warbreaker
947,Two Boys Kissing,David Levithan,Young Adult,2013,English,4.09,"37,275",451,5,https://www.goodreads.com/book/show/17237214-two-boys-kissing
948,"The Serpent's Shadow (The Kane Chronicles, #3)",Rick Riordan,Fantasy,2012,English,4.29,"109,061",450,6,https://www.goodreads.com/book/show/12893742-the-serpent-s-shadow
949,Summertime,J.M. Coetzee,Fiction,2009,English,3.77,"5,176",448,6,https://www.goodreads.com/book/show/6337163-summertime
950,"Tiger's Curse (The Tiger Saga, #1)",Colleen Houck,Fantasy,2011,English,4.07,"55,601",448,6,https://www.goodreads.com/book/show/9284655-tiger-s-curse
951,Salvage the Bones,Jesmyn Ward,Fiction,2011,English,3.92,"37,490",448,6,https://www.goodreads.com/book/show/10846336-salvage-the-bones
952,Down River,John Hart,Mystery,2007,English,3.94,"12,106",447,5,https://www.goodreads.com/book/show/446038.Down_River
953,The Torah Codes,Ezra Barany,Mystery,2011,English,3.47,171,447,5,https://www.goodreads.com/book/show/10915826-the-torah-codes
954,"Gabriel's Inferno (Gabriel's Inferno, #1)",Sylvain Reynard,Romance,2011,English,4.01,"136,343",446,6,https://www.goodreads.com/book/show/10140661-gabriel-s-inferno
955,The Sea of Tranquility,Katja Millay,Young Adult,2012,English,4.31,"75,844",445,6,https://www.goodreads.com/book/show/16151178-the-sea-of-tranquility
956,A Wedding in December,Anita Shreve,Fiction,2006,English,3.09,"18,524",442,5,https://www.goodreads.com/book/show/14963.A_Wedding_in_December
957,The Weird Sisters,Eleanor Brown,Fiction,2011,English,3.36,"42,847",442,6,https://www.goodreads.com/book/show/8573020-the-weird-sisters
958,"Those Who Leave and Those Who Stay (The Neapolitan Novels, #3)",Elena Ferrante,Fiction,2014,English,4.30,"69,728",442,5,https://www.goodreads.com/book/show/23156040-those-who-leave-and-those-who-stay
959,The Dark Side: The Inside Story of How the War on Terror Turned Into a War on American Ideals,Jane Mayer,Nonfiction,2008,English,4.17,"3,829",440,5,https://www.goodreads.com/book/show/3280003-the-dark-side
960,The Witch of Portobello,Paulo Coelho,Fiction,2007,English,3.53,"66,466",439,6,https://www.goodreads.com/book/show/816720.The_Witch_of_Portobello
961,"Raised by Wolves (Raised by Wolves, #1)",Jennifer Lynn Barnes,Young Adult,2010,English,3.93,"26,782",439,6,https://www.goodreads.com/book/show/6905534-raised-by-wolves
962,The Underneath,Kathi Appelt,Fantasy,2008,English,3.95,"9,676",439,5,https://www.goodreads.com/book/show/2768169-the-underneath
963,Special Topics in Calamity Physics,Marisha Pessl,Fiction,2006,English,3.71,"37,888",438,6,https://www.goodreads.com/book/show/3483.Special_Topics_in_Calamity_Physics
964,Cracked Hearts,Linda Masemore Pirrung,Romance,2013,English,4.25,118,438,5,https://www.goodreads.com/book/show/19548967-cracked-hearts
965,Villa Incognito,Tom Robbins,Fiction,2004,English,3.67,"16,977",437,5,https://www.goodreads.com/book/show/9569.Villa_Incognito
966,"""A Problem from Hell"": America and the Age of Genocide",Samantha Power,Nonfiction,2003,English,4.22,"8,467",436,5,https://www.goodreads.com/book/show/368731._A_Problem_from_Hell_
967,The Scorpio Races,Maggie Stiefvater,Fantasy,2011,English,4.09,"89,776",435,7,https://www.goodreads.com/book/show/10626594-the-scorpio-races
968,Shalimar the Clown,Salman Rushdie,Fiction,2006,English,3.88,"12,343",434,6,https://www.goodreads.com/book/show/4830.Shalimar_the_Clown
969,These Things Hidden,Heather Gudenkauf,Thriller,2011,unknown,3.86,"33,125",434,5,https://www.goodreads.com/book/show/9166559-these-things-hidden
